// Cantrips
// -----------------
// Azura's Rain					AGTT_Projectile_AzurasRain
// Conjure Wisp
// Create Item
// Create or Destroy Water		AGTT_Target_CreateWater
// Bind Familiar
// Mehrune's Smoke				AGTT_Target_MehrunesSmoke
// Meridia's Grasp				AGTT_Target_MeridiasGrasp

data "DisplayName" "Bound Greataxe"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Greataxe, which appears in your inventory."

new entry "AGTT_Shout_BoundDagger"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_DAGGER, 100, 9)"
data "DisplayName" "Bound Dagger"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Dagger, which appears in your inventory."

new entry "AGTT_Shout_BoundMace"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_MACE, 100, 9)"
data "DisplayName" "Bound Mace"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Mace, which appears in your inventory."

new entry "AGTT_Shout_BoundWarhammer"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_WARHAMMER, 100, 9)"
data "DisplayName" "Bound Warhammer"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Warhammer, which appears in your inventory."

new entry "AGTT_Shout_BoundTrident"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_TRIDENT, 100, 9)"
data "DisplayName" "Bound Trident"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Trident, which appears in your inventory."

new entry "AGTT_Shout_BoundSpear"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_SPEAR, 100, 9)"
data "DisplayName" "Bound Spear"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Spear, which appears in your inventory."

new entry "AGTT_Shout_BoundPike"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_PIKE, 100, 9)"
data "DisplayName" "Bound Pike"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Pike, which appears in your inventory."

new entry "AGTT_Shout_BoundShortsword"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_SHORTSWORD, 100, 9)"
data "DisplayName" "Bound Shortsword"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Shortsword, which appears in your inventory."

new entry "AGTT_Shout_BoundLongsword"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_LONGSWORD, 100, 9)"
data "DisplayName" "Bound Longsword"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Longsword, which appears in your inventory."

new entry "AGTT_Shout_BoundGreatsword"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_GREATSWORD, 100, 9)"
data "DisplayName" "Bound Greatsword"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Greatsword, which appears in your inventory."

new entry "AGTT_Shout_BoundLightCrossbow"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_LIGHTCROSSBOW, 100, 9)"
data "DisplayName" "Bound Light Crossbow"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Light Crossbow, which appears in your inventory."

new entry "AGTT_Shout_BoundHeavyCrossbow"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_HEAVYCROSSBOW, 100, 9)"
data "DisplayName" "Bound Heavy Crossbow"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Heavy Crossbow, which appears in your inventory."

new entry "AGTT_Shout_BoundShortbow"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_SHORTBOW, 100, 9)"
data "DisplayName" "Bound Shortbow"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Shortbow, which appears in your inventory."

new entry "AGTT_Shout_BoundLongbow"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_LONGBOW, 100, 9)"
data "DisplayName" "Bound Longbow"
data "Description" "You summon a Lesser Daedra, warping its form into that of a Longbow, which appears in your inventory."


// 2nd Level Spells
// -----------------
// Uplevelled:
// Bound Weapon
// Coldharbor's Rain
// Create Water
// Empathy
// Ensnaring Strike
// Watcher
// -----------------
// Bound Armor
// Conjure Animals (Ritual)
// Daedric Spit
// Goodberry
// Herne's Claws
// Lava Shot
// Nocturnal's Hand
// Vaermina's Shroud
